date,station_id,fuel_type,price_per_litre,volume_sold_litres,rainfall_mm,temperature_c,day_of_week,holiday,competitor_price
2024-02-20,101,Petrol,178.4,5194,0.0,29.3,Tuesday,No,177.26
2024-02-21,101,Petrol,181.08,5129,4.35,29.3,Wednesday,No,180.99
2024-02-22,101,Petrol,179.04,5296,12.97,29.1,Thursday,No,179.62
2024-02-23,101,Petrol,177.98,4929,0.0,29.2,Friday,No,177.25
2024-02-24,101,Petrol,178.26,5262,4.77,29.6,Saturday,No,178.5
2024-02-25,101,Petrol,177.25,5296,4.04,29.5,Sunday,No,176.88
2024-02-26,101,Petrol,178.37,5725,0.0,25.2,Monday,No,178.48
2024-02-27,101,Petrol,180.2,5188,2.39,27.5,Tuesday,No,179.0
2024-02-28,101,Petrol,180.82,4866,0.0,29.7,Wednesday,No,180.62
2024-02-29,101,Petrol,180.88,4606,1.54,21.8,Thursday,Yes,179.83
2024-03-01,101,Petrol,178.97,4977,0.75,30.5,Friday,No,179.06
2024-03-02,101,Petrol,182.0,5318,5.5,28.1,Saturday,No,181.14
2024-03-03,101,Petrol,177.73,5539,0.0,30.3,Sunday,No,177.74
2024-03-04,101,Petrol,179.33,5702,0.21,28.5,Monday,No,177.65
2024-03-05,101,Petrol,179.15,5087,0.0,23.4,Tuesday,No,176.01
2024-03-06,101,Petrol,182.43,5351,4.15,26.4,Wednesday,No,181.91
2024-03-07,101,Petrol,179.34,5468,5.96,22.3,Thursday,No,177.62
2024-03-08,101,Petrol,180.11,5329,0.75,27.2,Friday,No,180.61
2024-03-09,101,Petrol,181.94,4998,0.0,31.6,Saturday,No,179.89
2024-03-10,101,Petrol,177.88,5223,4.12,36.2,Sunday,No,178.58
2024-03-11,101,Petrol,178.29,5131,5.02,26.1,Monday,No,176.96
2024-03-12,101,Petrol,178.71,4922,0.0,28.5,Tuesday,No,177.15
2024-03-13,101,Petrol,178.57,5652,2.11,29.1,Wednesday,No,178.29
2024-03-14,101,Petrol,180.15,5364,5.2,27.0,Thursday,No,179.19
2024-03-15,101,Petrol,177.94,5166,2.5,25.1,Friday,No,178.38
2024-03-16,101,Petrol,181.82,5351,0.0,33.0,Saturday,No,180.27
2024-03-17,101,Petrol,178.15,4551,0.38,28.9,Sunday,No,177.79
2024-03-18,101,Petrol,179.51,5356,5.51,27.4,Monday,No,178.87
2024-03-19,101,Petrol,179.12,4836,4.98,20.3,Tuesday,No,178.76
2024-03-20,101,Petrol,180.44,4842,0.12,19.3,Wednesday,No,179.78
2024-03-21,101,Petrol,178.13,4854,3.69,30.0,Thursday,No,177.83
2024-03-22,101,Petrol,177.57,4516,0.0,26.1,Friday,No,176.06
2024-03-23,101,Petrol,180.98,6024,0.0,31.0,Saturday,No,180.87
2024-03-24,101,Petrol,180.86,4983,3.93,23.3,Sunday,No,179.98
2024-03-25,101,Petrol,180.64,4883,1.37,25.7,Monday,No,179.17
2024-03-26,101,Petrol,180.51,4959,7.39,30.4,Tuesday,Yes,181.11
2024-03-27,101,Petrol,179.69,5316,0.8,23.4,Wednesday,No,179.73
2024-03-28,101,Petrol,179.46,5218,6.99,28.2,Thursday,No,180.12
2024-03-29,101,Petrol,176.74,5139,0.46,33.4,Friday,No,176.54
2024-03-30,101,Petrol,180.48,5128,6.86,27.5,Saturday,No,179.03
2024-03-31,101,Petrol,179.53,5697,3.26,26.4,Sunday,No,179.96
2024-04-01,101,Petrol,180.02,5764,5.58,32.7,Monday,No,181.35
2024-04-02,101,Petrol,181.71,5691,0.67,27.9,Tuesday,No,181.01
2024-04-03,101,Petrol,179.04,5744,0.0,24.2,Wednesday,No,177.47
2024-04-04,101,Petrol,180.17,5990,3.13,27.7,Thursday,Yes,179.74
2024-04-05,101,Petrol,179.8,5362,0.0,26.9,Friday,No,179.55
2024-04-06,101,Petrol,182.09,5991,2.98,30.7,Saturday,No,181.61
2024-04-07,101,Petrol,179.97,5037,2.2,26.1,Sunday,No,179.27
2024-04-08,101,Petrol,180.49,5560,1.62,29.7,Monday,No,180.84
2024-04-09,101,Petrol,181.78,5624,7.07,26.8,Tuesday,No,183.1
2024-04-10,101,Petrol,177.81,5791,0.05,31.4,Wednesday,No,176.72
2024-04-11,101,Petrol,180.65,5859,7.86,31.7,Thursday,No,182.08
2024-04-12,101,Petrol,178.81,5689,4.06,29.3,Friday,No,178.0
2024-04-13,101,Petrol,179.78,5874,1.07,26.2,Saturday,No,178.44
2024-04-14,101,Petrol,180.47,5480,3.04,27.8,Sunday,No,179.79
2024-04-15,101,Petrol,181.65,5555,0.0,29.8,Monday,No,180.59
2024-04-16,101,Petrol,179.29,6108,0.59,31.7,Tuesday,No,178.83
2024-04-17,101,Petrol,181.96,5950,0.92,29.6,Wednesday,No,181.67
2024-04-18,101,Petrol,178.53,5822,1.11,29.6,Thursday,No,176.46
2024-04-19,101,Petrol,178.54,6089,4.41,36.7,Friday,No,177.56
2024-04-20,101,Petrol,179.18,5610,0.0,27.1,Saturday,No,178.25
2024-04-21,101,Petrol,180.36,6357,2.24,28.5,Sunday,Yes,179.95
2024-04-22,101,Petrol,180.18,5688,6.55,31.6,Monday,No,180.28
2024-04-23,101,Petrol,176.41,5109,1.99,27.3,Tuesday,No,175.19
2024-04-24,101,Petrol,181.44,5417,3.71,22.8,Wednesday,No,180.19
2024-04-25,101,Petrol,180.53,5579,1.91,25.7,Thursday,No,180.57
2024-04-26,101,Petrol,180.38,5721,0.54,30.7,Friday,No,179.08
2024-04-27,101,Petrol,179.64,5326,1.33,31.1,Saturday,No,180.22
2024-04-28,101,Petrol,178.0,5497,0.0,25.4,Sunday,No,177.36
2024-04-29,101,Petrol,179.01,6153,0.0,30.1,Monday,No,178.34
2024-04-30,101,Petrol,181.71,5772,9.5,21.2,Tuesday,No,180.29
2024-05-01,101,Petrol,177.44,5898,0.0,29.6,Wednesday,No,176.49
2024-05-02,101,Petrol,179.93,5020,0.67,29.2,Thursday,No,179.24
2024-05-03,101,Petrol,180.23,5134,7.83,22.2,Friday,No,178.5
2024-05-04,101,Petrol,181.39,4987,0.0,29.8,Saturday,No,180.59
2024-05-05,101,Petrol,179.89,5502,6.78,28.0,Sunday,No,178.78
2024-05-06,101,Petrol,180.0,5276,5.35,24.9,Monday,No,178.59
2024-05-07,101,Petrol,178.66,5105,11.28,23.6,Tuesday,No,178.58
2024-05-08,101,Petrol,178.43,4684,1.45,30.3,Wednesday,No,179.23
2024-05-09,101,Petrol,180.84,5035,4.76,27.6,Thursday,No,181.51
2024-05-10,101,Petrol,179.93,5110,3.44,36.3,Friday,No,179.7
2024-05-11,101,Petrol,180.36,5642,0.0,20.8,Saturday,No,181.52
2024-05-12,101,Petrol,179.31,6385,0.0,28.8,Sunday,No,178.19
2024-05-13,101,Petrol,181.61,5367,4.51,25.7,Monday,No,179.75
2024-05-14,101,Petrol,181.81,5469,3.03,27.7,Tuesday,No,182.44
2024-05-15,101,Petrol,179.76,5412,3.92,27.2,Wednesday,No,180.3
2024-05-16,101,Petrol,181.25,4915,5.14,27.0,Thursday,No,180.61
2024-05-17,101,Petrol,180.45,5891,1.99,29.1,Friday,No,179.95
2024-05-18,101,Petrol,178.39,4721,2.65,27.5,Saturday,No,178.42
2024-05-19,101,Petrol,181.85,5921,4.16,24.0,Sunday,Yes,181.47
2024-05-20,101,Petrol,182.44,5531,5.91,35.5,Monday,No,182.76
2024-05-21,101,Petrol,181.38,5426,1.28,28.9,Tuesday,No,180.75
2024-05-22,101,Petrol,180.11,4487,0.0,27.5,Wednesday,No,179.39
2024-05-23,101,Petrol,180.51,5652,0.0,26.8,Thursday,No,180.99
2024-05-24,101,Petrol,180.48,5451,3.99,31.0,Friday,No,178.88
2024-05-25,101,Petrol,182.04,4541,2.07,25.5,Saturday,No,182.52
2024-05-26,101,Petrol,181.63,5186,0.0,28.6,Sunday,No,180.58
2024-05-27,101,Petrol,183.09,5172,1.71,28.7,Monday,Yes,182.12
2024-05-28,101,Petrol,180.98,5063,4.07,29.7,Tuesday,Yes,179.2
2024-05-29,101,Petrol,179.98,5087,0.0,26.1,Wednesday,No,179.93
2024-05-30,101,Petrol,177.18,5136,4.79,27.9,Thursday,No,177.96
2024-05-31,101,Petrol,181.88,5417,3.66,26.9,Friday,No,180.05
2024-06-01,101,Petrol,182.87,5533,3.42,28.3,Saturday,No,180.99
2024-06-02,101,Petrol,177.24,4311,9.2,36.0,Sunday,No,175.36
2024-06-03,101,Petrol,181.08,4691,3.49,25.4,Monday,No,180.68
2024-06-04,101,Petrol,179.05,4764,1.22,24.3,Tuesday,No,178.33
2024-06-05,101,Petrol,178.42,5011,0.42,28.0,Wednesday,No,177.71
2024-06-06,101,Petrol,179.48,5328,1.0,29.7,Thursday,No,179.26
2024-06-07,101,Petrol,179.08,5454,0.0,25.3,Friday,No,178.74
2024-06-08,101,Petrol,177.99,4763,5.19,27.8,Saturday,No,176.16
2024-06-09,101,Petrol,180.97,5527,5.13,26.8,Sunday,No,178.62
2024-06-10,101,Petrol,180.24,5139,7.19,25.5,Monday,No,179.83
2024-06-11,101,Petrol,179.24,4939,1.46,28.5,Tuesday,No,180.47
2024-06-12,101,Petrol,180.93,4142,0.77,27.3,Wednesday,No,180.9
2024-06-13,101,Petrol,180.8,4879,2.83,31.8,Thursday,No,181.18
2024-06-14,101,Petrol,178.41,5860,0.0,27.9,Friday,No,177.91
2024-06-15,101,Petrol,180.34,5551,0.0,30.9,Saturday,No,180.2
2024-06-16,101,Petrol,179.63,5232,3.78,30.6,Sunday,No,178.83
2024-06-17,101,Petrol,177.99,5558,4.59,22.0,Monday,No,176.84
2024-06-18,101,Petrol,180.43,5407,4.82,31.7,Tuesday,No,180.08
2024-06-19,101,Petrol,181.53,4737,0.0,29.9,Wednesday,No,180.27
2024-06-20,101,Petrol,179.37,5788,0.0,22.1,Thursday,No,180.71
2024-06-21,101,Petrol,179.02,5227,2.18,27.1,Friday,No,178.65
2024-06-22,101,Petrol,182.85,5786,0.0,27.5,Saturday,No,183.15
2024-06-23,101,Petrol,181.03,5512,0.44,24.8,Sunday,No,177.53
2024-06-24,101,Petrol,180.4,5131,0.0,27.6,Monday,No,178.58
2024-06-25,101,Petrol,179.62,5070,1.67,31.5,Tuesday,No,179.02
2024-06-26,101,Petrol,179.88,5877,0.85,30.9,Wednesday,No,178.83
2024-06-27,101,Petrol,180.7,4647,1.94,28.1,Thursday,Yes,179.26
2024-06-28,101,Petrol,179.31,5606,2.46,28.0,Friday,No,179.21
2024-06-29,101,Petrol,179.69,5090,3.94,28.9,Saturday,No,178.59
2024-06-30,101,Petrol,181.6,5330,2.93,25.3,Sunday,No,180.13
2024-07-01,101,Petrol,180.1,4921,0.0,31.6,Monday,No,180.7
2024-07-02,101,Petrol,179.18,4164,2.66,23.6,Tuesday,No,178.95
2024-07-03,101,Petrol,180.57,4773,1.7,26.0,Wednesday,No,178.54
2024-07-04,101,Petrol,184.84,4458,4.61,24.9,Thursday,Yes,184.46
2024-07-05,101,Petrol,180.57,4354,1.6,28.8,Friday,No,180.6
2024-07-06,101,Petrol,180.54,5208,0.0,30.0,Saturday,No,180.2
2024-07-07,101,Petrol,179.46,4869,3.35,25.7,Sunday,No,179.16
2024-07-08,101,Petrol,182.2,4346,2.87,25.3,Monday,No,182.37
2024-07-09,101,Petrol,180.09,4628,5.33,31.1,Tuesday,No,180.14
2024-07-10,101,Petrol,180.12,4724,0.0,27.6,Wednesday,Yes,180.06
2024-07-11,101,Petrol,180.43,4963,3.78,27.2,Thursday,No,179.45
2024-07-12,101,Petrol,180.93,3966,0.0,22.5,Friday,Yes,180.01
2024-07-13,101,Petrol,179.82,4634,0.0,28.8,Saturday,No,180.42
2024-07-14,101,Petrol,177.93,4831,0.0,24.0,Sunday,No,178.76
2024-07-15,101,Petrol,181.62,4951,0.31,26.7,Monday,No,180.96
2024-07-16,101,Petrol,180.21,5636,3.19,28.6,Tuesday,No,180.34
2024-07-17,101,Petrol,180.57,4599,2.14,27.0,Wednesday,No,180.31
2024-07-18,101,Petrol,178.12,4587,3.99,25.0,Thursday,No,177.15
2024-07-19,101,Petrol,181.55,3963,0.0,24.4,Friday,No,180.12
2024-07-20,101,Petrol,179.97,4038,1.0,28.5,Saturday,No,179.4
2024-07-21,101,Petrol,181.5,4292,0.0,24.8,Sunday,No,183.38
2024-07-22,101,Petrol,180.84,4312,1.16,31.8,Monday,No,179.36
2024-07-23,101,Petrol,177.63,4674,2.34,32.7,Tuesday,No,177.68
2024-07-24,101,Petrol,181.3,4733,0.37,27.8,Wednesday,No,179.37
2024-07-25,101,Petrol,179.61,4449,0.0,28.3,Thursday,No,179.21
2024-07-26,101,Petrol,180.51,4779,7.24,30.8,Friday,No,179.81
2024-07-27,101,Petrol,181.47,4724,0.0,32.2,Saturday,No,181.94
2024-07-28,101,Petrol,181.78,4488,3.15,27.9,Sunday,No,181.6
2024-07-29,101,Petrol,180.78,4267,0.0,29.6,Monday,No,179.49
2024-07-30,101,Petrol,180.94,4584,1.75,34.3,Tuesday,No,179.03
2024-07-31,101,Petrol,182.9,4260,4.58,26.9,Wednesday,No,180.53
2024-08-01,101,Petrol,179.4,5398,2.55,31.0,Thursday,No,178.96
2024-08-02,101,Petrol,178.5,4393,1.99,23.8,Friday,Yes,177.41
2024-08-03,101,Petrol,179.63,5068,0.82,27.3,Saturday,No,179.19
2024-08-04,101,Petrol,181.3,4943,0.0,27.9,Sunday,No,181.59
2024-08-05,101,Petrol,181.57,3983,3.0,30.0,Monday,No,181.22
2024-08-06,101,Petrol,179.56,4493,2.12,26.2,Tuesday,No,180.29
2024-08-07,101,Petrol,181.79,4608,2.15,21.3,Wednesday,No,181.29
2024-08-08,101,Petrol,180.49,5321,1.76,26.7,Thursday,No,178.98
2024-08-09,101,Petrol,178.41,4683,0.0,26.0,Friday,No,175.25
2024-08-10,101,Petrol,179.37,4377,0.66,30.9,Saturday,No,179.01
2024-08-11,101,Petrol,179.49,5090,0.71,27.7,Sunday,No,178.92
2024-08-12,101,Petrol,177.93,4525,2.26,30.7,Monday,No,177.34
2024-08-13,101,Petrol,181.32,5201,5.59,31.7,Tuesday,No,181.4
2024-08-14,101,Petrol,181.61,4615,2.98,32.2,Wednesday,No,181.29
2024-08-15,101,Petrol,179.09,4709,0.0,27.5,Thursday,No,177.73
2024-08-16,101,Petrol,181.59,4646,0.0,31.0,Friday,No,179.88
2024-08-17,101,Petrol,179.97,4681,0.0,29.2,Saturday,No,179.14
2024-08-18,101,Petrol,181.85,4245,0.0,33.3,Sunday,No,181.22
2024-08-19,101,Petrol,179.16,5087,0.0,29.8,Monday,No,179.8
2024-08-20,101,Petrol,179.04,5135,1.36,23.2,Tuesday,No,176.5
2024-08-21,101,Petrol,178.27,4395,0.94,29.5,Wednesday,No,176.32
2024-08-22,101,Petrol,178.71,4795,1.5,27.3,Thursday,No,177.21
2024-08-23,101,Petrol,181.05,4864,2.93,25.9,Friday,No,181.04
2024-08-24,101,Petrol,179.64,4846,5.09,24.8,Saturday,No,180.05
2024-08-25,101,Petrol,179.21,4890,0.0,22.1,Sunday,No,178.47
2024-08-26,101,Petrol,180.72,4995,0.8,28.3,Monday,No,181.11
2024-08-27,101,Petrol,179.04,4975,2.18,34.9,Tuesday,No,178.75
2024-08-28,101,Petrol,180.64,4921,0.0,28.9,Wednesday,No,182.15
2024-08-29,101,Petrol,180.16,4888,3.6,25.3,Thursday,No,179.97
2024-08-30,101,Petrol,180.38,5202,2.01,30.2,Friday,No,179.36
2024-08-31,101,Petrol,181.28,4761,0.0,29.1,Saturday,No,181.94
2024-09-01,101,Petrol,181.22,5403,1.67,33.2,Sunday,No,178.6
2024-09-02,101,Petrol,180.14,4912,2.89,34.3,Monday,Yes,177.97
2024-09-03,101,Petrol,178.82,5479,4.01,26.3,Tuesday,No,177.78
2024-09-04,101,Petrol,179.49,5068,4.22,30.6,Wednesday,No,179.54
2024-09-05,101,Petrol,179.41,5721,0.0,25.3,Thursday,No,179.1
2024-09-06,101,Petrol,179.23,4530,0.0,27.9,Friday,No,178.66
2024-09-07,101,Petrol,180.29,5353,0.0,24.7,Saturday,No,181.31
2024-09-08,101,Petrol,181.03,5064,0.0,30.6,Sunday,No,180.13
2024-09-09,101,Petrol,177.44,5199,0.33,26.4,Monday,No,177.06
2024-09-10,101,Petrol,179.22,4770,0.08,28.4,Tuesday,No,179.46
2024-09-11,101,Petrol,182.84,5092,1.63,26.8,Wednesday,No,183.31
2024-09-12,101,Petrol,177.79,5746,2.67,32.2,Thursday,No,177.94
2024-09-13,101,Petrol,182.45,5359,2.79,30.4,Friday,No,183.34
2024-09-14,101,Petrol,179.88,5325,1.02,26.4,Saturday,No,179.07
2024-09-15,101,Petrol,179.59,5583,1.58,25.0,Sunday,No,179.87
2024-09-16,101,Petrol,179.79,5375,0.0,27.2,Monday,No,179.39
2024-09-17,101,Petrol,180.14,5446,1.21,29.5,Tuesday,No,177.9
2024-09-18,101,Petrol,179.67,5484,3.06,27.2,Wednesday,Yes,180.52
2024-09-19,101,Petrol,180.28,5235,0.0,30.2,Thursday,No,181.16
2024-09-20,101,Petrol,180.35,4935,2.76,29.3,Friday,No,179.63
2024-09-21,101,Petrol,179.4,4910,3.61,27.0,Saturday,No,178.15
2024-09-22,101,Petrol,180.0,5478,4.51,32.4,Sunday,No,177.57
2024-09-23,101,Petrol,180.61,5543,2.05,31.2,Monday,No,181.32
2024-09-24,101,Petrol,181.25,4499,1.47,22.0,Tuesday,No,181.19
2024-09-25,101,Petrol,180.35,5396,4.86,23.5,Wednesday,No,181.51
2024-09-26,101,Petrol,179.28,5848,2.98,25.6,Thursday,No,179.11
2024-09-27,101,Petrol,178.11,5135,1.46,28.6,Friday,No,177.67
2024-09-28,101,Petrol,179.13,5233,2.02,30.4,Saturday,No,175.75
2024-09-29,101,Petrol,181.89,5419,0.0,25.0,Sunday,No,180.55
2024-09-30,101,Petrol,178.64,5281,0.95,35.1,Monday,No,178.44
2024-10-01,101,Petrol,182.85,4946,0.0,20.2,Tuesday,No,184.41
2024-10-02,101,Petrol,180.88,6006,2.59,25.7,Wednesday,No,180.73
2024-10-03,101,Petrol,181.45,6057,7.22,24.0,Thursday,No,180.6
2024-10-04,101,Petrol,180.52,5126,4.1,30.2,Friday,No,179.65
2024-10-05,101,Petrol,181.88,5169,0.0,31.9,Saturday,No,181.13
2024-10-06,101,Petrol,178.87,5485,0.0,29.9,Sunday,No,177.27
2024-10-07,101,Petrol,182.4,4865,4.48,28.0,Monday,No,181.01
2024-10-08,101,Petrol,180.91,4647,1.5,30.8,Tuesday,No,178.37
2024-10-09,101,Petrol,182.83,5374,0.0,24.4,Wednesday,No,182.4
2024-10-10,101,Petrol,182.51,5592,5.4,26.4,Thursday,No,181.36
2024-10-11,101,Petrol,181.94,5975,0.6,30.6,Friday,No,180.12
2024-10-12,101,Petrol,181.93,5053,5.21,28.2,Saturday,Yes,182.01
2024-10-13,101,Petrol,184.26,5442,6.9,23.2,Sunday,No,182.98
2024-10-14,101,Petrol,179.11,4471,0.9,31.9,Monday,No,178.46
2024-10-15,101,Petrol,178.69,5007,6.07,23.3,Tuesday,No,179.65
2024-10-16,101,Petrol,177.9,4904,3.11,29.3,Wednesday,No,176.61
2024-10-17,101,Petrol,179.96,4795,0.0,23.7,Thursday,No,179.15
2024-10-18,101,Petrol,181.22,5395,9.28,25.5,Friday,No,181.02
2024-10-19,101,Petrol,180.12,4744,0.55,31.4,Saturday,No,179.77
2024-10-20,101,Petrol,179.59,5588,5.75,31.0,Sunday,No,178.94
2024-10-21,101,Petrol,180.61,5420,0.34,29.7,Monday,No,181.31
2024-10-22,101,Petrol,180.51,5335,6.74,26.7,Tuesday,No,179.43
2024-10-23,101,Petrol,183.85,4910,3.62,26.7,Wednesday,No,182.93
2024-10-24,101,Petrol,179.91,5381,6.85,32.7,Thursday,No,179.46
2024-10-25,101,Petrol,181.38,5758,10.18,23.6,Friday,No,181.56
2024-10-26,101,Petrol,180.08,4520,2.38,26.4,Saturday,No,180.38
2024-10-27,101,Petrol,179.67,5745,0.0,34.5,Sunday,No,180.31
2024-10-28,101,Petrol,179.27,5546,0.0,32.3,Monday,No,177.66
2024-10-29,101,Petrol,179.45,5429,1.02,28.5,Tuesday,No,178.07
2024-10-30,101,Petrol,176.72,5704,3.73,29.6,Wednesday,No,176.47
2024-10-31,101,Petrol,180.23,5492,0.74,28.1,Thursday,No,181.13
2024-11-01,101,Petrol,180.09,5508,5.76,29.2,Friday,No,178.76
2024-11-02,101,Petrol,180.04,5385,0.0,30.3,Saturday,No,179.09
2024-11-03,101,Petrol,179.72,5592,0.0,23.2,Sunday,No,178.0
2024-11-04,101,Petrol,182.58,5579,6.83,30.9,Monday,No,182.94
2024-11-05,101,Petrol,179.29,5647,2.23,22.1,Tuesday,No,178.57
2024-11-06,101,Petrol,182.32,4631,0.0,25.3,Wednesday,No,182.05
2024-11-07,101,Petrol,182.12,4949,3.35,27.0,Thursday,No,180.92
2024-11-08,101,Petrol,178.53,5847,5.42,25.5,Friday,No,177.56
2024-11-09,101,Petrol,179.24,5163,0.0,24.4,Saturday,No,177.41
2024-11-10,101,Petrol,182.83,6048,1.6,28.2,Sunday,No,181.53
2024-11-11,101,Petrol,179.66,5852,0.0,32.4,Monday,No,179.05
2024-11-12,101,Petrol,180.21,5725,6.23,34.0,Tuesday,No,179.5
2024-11-13,101,Petrol,180.97,5685,0.0,31.7,Wednesday,No,179.97
2024-11-14,101,Petrol,178.15,5129,6.57,30.3,Thursday,No,178.8
2024-11-15,101,Petrol,180.29,4813,8.04,29.9,Friday,No,180.78
2024-11-16,101,Petrol,180.58,4953,4.7,24.3,Saturday,No,180.12
2024-11-17,101,Petrol,179.89,4537,0.0,31.5,Sunday,No,180.18
2024-11-18,101,Petrol,179.76,5381,2.04,27.4,Monday,No,178.86
2024-11-19,101,Petrol,178.86,5167,2.96,27.4,Tuesday,No,179.36
2024-11-20,101,Petrol,178.36,5896,7.38,25.4,Wednesday,No,176.4
2024-11-21,101,Petrol,178.93,5603,0.0,27.4,Thursday,No,180.3
2024-11-22,101,Petrol,179.3,5355,4.34,26.8,Friday,No,177.7
2024-11-23,101,Petrol,178.76,4393,7.41,28.2,Saturday,No,177.94
2024-11-24,101,Petrol,179.24,4856,5.53,29.0,Sunday,No,179.15
2024-11-25,101,Petrol,180.73,5424,1.36,30.6,Monday,No,181.11
2024-11-26,101,Petrol,181.09,4566,0.0,23.2,Tuesday,No,179.27
2024-11-27,101,Petrol,178.26,4744,0.0,30.4,Wednesday,Yes,178.12
2024-11-28,101,Petrol,181.13,4908,0.0,30.4,Thursday,No,180.2
2024-11-29,101,Petrol,179.75,4664,4.18,32.3,Friday,Yes,180.01
2024-11-30,101,Petrol,181.66,5291,1.58,29.8,Saturday,No,179.61
2024-12-01,101,Petrol,179.23,5640,3.92,29.9,Sunday,No,179.98
2024-12-02,101,Petrol,179.54,6589,0.0,27.2,Monday,No,177.3
2024-12-03,101,Petrol,177.38,5034,0.0,21.1,Tuesday,Yes,176.38
2024-12-04,101,Petrol,178.83,5736,8.29,24.7,Wednesday,No,176.74
2024-12-05,101,Petrol,181.21,4791,1.48,28.1,Thursday,No,179.71
2024-12-06,101,Petrol,181.01,5488,9.51,28.0,Friday,No,180.71
2024-12-07,101,Petrol,179.91,6072,0.0,24.5,Saturday,No,178.12
2024-12-08,101,Petrol,179.11,5622,0.0,34.3,Sunday,No,178.43
2024-12-09,101,Petrol,179.73,5237,0.0,29.4,Monday,No,178.13
2024-12-10,101,Petrol,180.41,5763,0.85,32.5,Tuesday,No,179.86
2024-12-11,101,Petrol,179.74,5798,1.89,25.7,Wednesday,No,179.56
